Buckwalter transliterate	Buckwalter lemmas	My translitreate	My lemmas
mvAl 	 mav~Al_1, mivAl_1	mvAl	
lbED 	 baE~aD_1, baEoD_1	lbED	baE~aD_1
Al>xTA 	 xaTa>_1	Al>xTA	
Al$AEp 	 $AiE_1	Al$AEp	
Al$AEh 	 	Al$AEh	
fy 	 y_1, fiy_2, fiy_1	fy	fiy_1
fY 	 	fY	
ktAbp 	 kitAbap_1, kitAbap_2	ktAbp	kitAbap_1 | kitAbap_2
ktAbh 	 kitAb_1, kut~Ab_1, kAtib_1	ktAbh	kitAb_1 | kut~Ab_1 | kAtib_1
Altnwyn 	 tanowiyn_1	Altnwyn	
bAlftHp 	 fatoHap_2, fatoHap_1	bAlftHp	fatoHap_1 | fatoHap_2
bAlftHh 	 	bAlftHh	
ElY 	 Eal~aY_1, EalaY_1	ElY	
Ely 	 Ealiy~_2, Ealiy~_1, EalaY_1	Ely	EalaY_1
Hrf 	 Har~af_1, Hirofap_1, Haraf-i_1, Harof_1	Hrf	Haraf-i_1 | Har~af_1
Al>lf 	 >alif_1, >alaf~_1, >alof_1, >alif_2	Al>lf	
>yDAF 	 >ayoD_1	>yDAF	
>yDA 	 >ayoD_1, >ay~aD_1	>yDA	>ayoDAF_1 | >ay~aD_1 | >ayoD_1
>yDA 	 >ayoD_1, >ay~aD_1	>yDA	>ayoDAF_1 | >ay~aD_1 | >ayoD_1
mvAl 	 mav~Al_1, mivAl_1	mvAl	
lnS 	 naS~-u_1, naS~_1, naS~_2	lnS	naS~-u_1
yHtwy 	 iHotawaY_1	yHtwy	
yHtwY 	 iHotawaY_1	yHtwY	
ElY 	 Eal~aY_1, EalaY_1	ElY	
Ely 	 Ealiy~_2, Ealiy~_1, EalaY_1	Ely	EalaY_1
klmAt 	 kalimap_1	klmAt	kalimap_1
gyr 	 gay~ar_1, gayor_1	gyr	gay~ar_1
mwjwdp 	 mawojuwd_1	mwjwdp	mawojuwd_1
mwjwdh 	 mawojuwd_1	mwjwdh	mawojuwd_1
fy 	 y_1, fiy_2, fiy_1	fy	fiy_1
fY 	 	fY	
qAmws 	 qAmuws_2, qAmuws_1	qAmws	
AlmHll 	 muHal~il_1, muHal~al_1	AlmHll	
AlSrfy 	 Sarofiy~_1	AlSrfy	
AlSrfY 	 	AlSrfY	
wbAlfAlwjp 	 	wbAlfAlwjp	
wbAlfAlwjh 	 	wbAlfAlwjh	
mvAl 	 mav~Al_1, mivAl_1	mvAl	
