Unicode	Transliterated_symbol	Gloss
\u0621	'	U+0621 ARABIC LETTER HAMZA
\u0622	|	U+0622 ARABIC LETTER ALEF WITH MADDA ABOVE
\u0623	>	U+0623 ARABIC LETTER ALEF WITH HAMZA ABOVE
\u0624	&	U+0624 ARABIC LETTER WAW WITH HAMZA ABOVE
\u0625	<	U+0625 ARABIC LETTER ALEF WITH HAMZA BELOW
\u0626	}	U+0626 ARABIC LETTER YEH WITH HAMZA ABOVE
\u0627	A	U+0627 ARABIC LETTER ALEF
\u0628	b	U+0628 ARABIC LETTER BEH
\u0629	p	U+0629 ARABIC LETTER TEH MARBUTA
\u062A	t	U+062A ARABIC LETTER TEH
\u062B	v	U+062B ARABIC LETTER THEH
\u062C	j	U+062C ARABIC LETTER JEEM
\u062D	H	U+062D ARABIC LETTER HAH
\u062E	x	U+062E ARABIC LETTER KHAH
\u062F	d	U+062F ARABIC LETTER DAL
\u0630	*	U+0630 ARABIC LETTER THAL
\u0631	r	U+0631 ARABIC LETTER REH
\u0632	z	U+0632 ARABIC LETTER ZAIN
\u0633	s	U+0633 ARABIC LETTER SEEN
\u0634	$	U+0634 ARABIC LETTER SHEEN
\u0635	S	U+0635 ARABIC LETTER SAD
\u0636	D	U+0636 ARABIC LETTER DAD
\u0637	T	U+0637 ARABIC LETTER TAH
\u0638	Z	U+0638 ARABIC LETTER ZAH
\u0639	E	U+0639 ARABIC LETTER AIN
\u063A	g	U+063A ARABIC LETTER GHAIN
\u0640	_	U+0640 ARABIC TATWEEL
\u0641	f	U+0641 ARABIC LETTER FEH
\u0642	q	U+0642 ARABIC LETTER QAF
\u0643	k	U+0643 ARABIC LETTER KAF
\u0644	l	U+0644 ARABIC LETTER LAM
\u0645	m	U+0645 ARABIC LETTER MEEM
\u0646	n	U+0646 ARABIC LETTER NOON
\u0647	h	U+0647 ARABIC LETTER HEH
\u0648	w	U+0648 ARABIC LETTER WAW
\u0649	Y	U+0649 ARABIC LETTER ALEF MAKSURA
\u064A	y	U+064A ARABIC LETTER YEH
\u064B	F	U+064B ARABIC FATHATAN
\u064C	N	U+064C ARABIC DAMMATAN
\u064D	K	U+064D ARABIC KASRATAN
\u064E	a	U+064E ARABIC FATHA
\u064F	u	U+064F ARABIC DAMMA
\u0650	i	U+0650 ARABIC KASRA
\u0651	~	U+0651 ARABIC SHADDA
\u0652	o	U+0652 ARABIC SUKUN
\u0670	`	U+0670 ARABIC LETTER SUPERSCRIPT ALEF
\u0671	{	U+0671 ARABIC LETTER ALEF WASLA
\u067E	P	U+067E ARABIC LETTER PEH
\u0686	J	U+0686 ARABIC LETTER TCHEH
\u06A4	V	U+06A4 ARABIC LETTER VEH
\u06AF	G	U+06AF ARABIC LETTER GAF
